"id";"title"
1;"Автомобили. Транспорт"
2;"Бизнес. Предпринимательство. Рынок"
3;"Вооруженные Силы. Правоохранительные органы"
4;"Государство и право. Юридические науки"
5;"Детские и молодежные издания"
6;"Досуг. Телепрограммы с анонсами"
7;"Здравоохранение. Медицина"
8;"Издания для женщин. Издания для мужчин"
9;"Издания универсального содержания"
10;"Книговедение. Полиграфия. Филателия"
11;"Компьютерные издания. Телевидение. Радио. Связь"
12;"Культура. Искусство. Литература"
13;"Научные и научно-популярные издания"
14;"Образование. Педагогика"
15;"Общественно-политические и литературно-художественные издания"
16;"Природа. Мир животных и растений"
17;"Приусадебное хозяйство. Сельское хозяйство. Экология. Лесное хозяйство"
18;"Рекламные издания"
19;"Религиозные издания"
20;"Социальная защита населения. Издания для инвалидов. Охрана труда. Кадровая служба."
21;"Спорт. Путешествия. Туризм"
22;"Техника. Промышленность. Строительство. Архитектура. Дизайн"
23;"Фантастика. Детектив"
24;"Экономика и финансы"